Date_Key,Date,Year,Quarter,Month,Day,Start_Of_Year,Start_Of_Quarter,Start_Of_Month
20220721,2022-07-21,2022,3,7,21,2022-01-01,2022-07-01,2022-07-01
20220802,2022-08-02,2022,3,8,2,2022-01-01,2022-07-01,2022-08-01
20220621,2022-06-21,2022,2,6,21,2022-01-01,2022-04-01,2022-06-01
20220504,2022-05-04,2022,2,5,4,2022-01-01,2022-04-01,2022-05-01
20220810,2022-08-10,2022,3,8,10,2022-01-01,2022-07-01,2022-08-01
20220505,2022-05-05,2022,2,5,5,2022-01-01,2022-04-01,2022-05-01
20220428,2022-04-28,2022,2,4,28,2022-01-01,2022-04-01,2022-04-01
20220408,2022-04-08,2022,2,4,8,2022-01-01,2022-04-01,2022-04-01
20220426,2022-04-26,2022,2,4,26,2022-01-01,2022-04-01,2022-04-01
20220329,2022-03-29,2022,1,3,29,2022-01-01,2022-01-01,2022-03-01
20220616,2022-06-16,2022,2,6,16,2022-01-01,2022-04-01,2022-06-01
20220506,2022-05-06,2022,2,5,6,2022-01-01,2022-04-01,2022-05-01
20220812,2022-08-12,2022,3,8,12,2022-01-01,2022-07-01,2022-08-01
20220124,2022-01-24,2022,1,1,24,2022-01-01,2022-01-01,2022-01-01
20220712,2022-07-12,2022,3,7,12,2022-01-01,2022-07-01,2022-07-01
20220127,2022-01-27,2022,1,1,27,2022-01-01,2022-01-01,2022-01-01
20220718,2022-07-18,2022,3,7,18,2022-01-01,2022-07-01,2022-07-01
20220727,2022-07-27,2022,3,7,27,2022-01-01,2022-07-01,2022-07-01
20220214,2022-02-14,2022,1,2,14,2022-01-01,2022-01-01,2022-02-01
20220118,2022-01-18,2022,1,1,18,2022-01-01,2022-01-01,2022-01-01
20220531,2022-05-31,2022,2,5,31,2022-01-01,2022-04-01,2022-05-01
20220603,2022-06-03,2022,2,6,3,2022-01-01,2022-04-01,2022-06-01
20220516,2022-05-16,2022,2,5,16,2022-01-01,2022-04-01,2022-05-01
20220518,2022-05-18,2022,2,5,18,2022-01-01,2022-04-01,2022-05-01
20220119,2022-01-19,2022,1,1,19,2022-01-01,2022-01-01,2022-01-01
20220620,2022-06-20,2022,2,6,20,2022-01-01,2022-04-01,2022-06-01
20220512,2022-05-12,2022,2,5,12,2022-01-01,2022-04-01,2022-05-01
20220208,2022-02-08,2022,1,2,8,2022-01-01,2022-01-01,2022-02-01
20220412,2022-04-12,2022,2,4,12,2022-01-01,2022-04-01,2022-04-01
20220120,2022-01-20,2022,1,1,20,2022-01-01,2022-01-01,2022-01-01
20220615,2022-06-15,2022,2,6,15,2022-01-01,2022-04-01,2022-06-01
20220216,2022-02-16,2022,1,2,16,2022-01-01,2022-01-01,2022-02-01
20220622,2022-06-22,2022,2,6,22,2022-01-01,2022-04-01,2022-06-01
20220211,2022-02-11,2022,1,2,11,2022-01-01,2022-01-01,2022-02-01
20220307,2022-03-07,2022,1,3,7,2022-01-01,2022-01-01,2022-03-01
20220330,2022-03-30,2022,1,3,30,2022-01-01,2022-01-01,2022-03-01
20220418,2022-04-18,2022,2,4,18,2022-01-01,2022-04-01,2022-04-01
20220419,2022-04-19,2022,2,4,19,2022-01-01,2022-04-01,2022-04-01
20220324,2022-03-24,2022,1,3,24,2022-01-01,2022-01-01,2022-03-01
20220310,2022-03-10,2022,1,3,10,2022-01-01,2022-01-01,2022-03-01
20220713,2022-07-13,2022,3,7,13,2022-01-01,2022-07-01,2022-07-01
20220715,2022-07-15,2022,3,7,15,2022-01-01,2022-07-01,2022-07-01
20220823,2022-08-23,2022,3,8,23,2022-01-01,2022-07-01,2022-08-01
20220815,2022-08-15,2022,3,8,15,2022-01-01,2022-07-01,2022-08-01
20220513,2022-05-13,2022,2,5,13,2022-01-01,2022-04-01,2022-05-01
20220701,2022-07-01,2022,3,7,1,2022-01-01,2022-07-01,2022-07-01
20220203,2022-02-03,2022,1,2,3,2022-01-01,2022-01-01,2022-02-01
20220318,2022-03-18,2022,1,3,18,2022-01-01,2022-01-01,2022-03-01
20220128,2022-01-28,2022,1,1,28,2022-01-01,2022-01-01,2022-01-01
20220328,2022-03-28,2022,1,3,28,2022-01-01,2022-01-01,2022-03-01
20220811,2022-08-11,2022,3,8,11,2022-01-01,2022-07-01,2022-08-01
20220406,2022-04-06,2022,2,4,6,2022-01-01,2022-04-01,2022-04-01
20220830,2022-08-30,2022,3,8,30,2022-01-01,2022-07-01,2022-08-01
20220610,2022-06-10,2022,2,6,10,2022-01-01,2022-04-01,2022-06-01
20220726,2022-07-26,2022,3,7,26,2022-01-01,2022-07-01,2022-07-01
20220325,2022-03-25,2022,1,3,25,2022-01-01,2022-01-01,2022-03-01
20220520,2022-05-20,2022,2,5,20,2022-01-01,2022-04-01,2022-05-01
20220623,2022-06-23,2022,2,6,23,2022-01-01,2022-04-01,2022-06-01
20220414,2022-04-14,2022,2,4,14,2022-01-01,2022-04-01,2022-04-01
20220502,2022-05-02,2022,2,5,2,2022-01-01,2022-04-01,2022-05-01
20220523,2022-05-23,2022,2,5,23,2022-01-01,2022-04-01,2022-05-01
20220617,2022-06-17,2022,2,6,17,2022-01-01,2022-04-01,2022-06-01
20220825,2022-08-25,2022,3,8,25,2022-01-01,2022-07-01,2022-08-01
20220222,2022-02-22,2022,1,2,22,2022-01-01,2022-01-01,2022-02-01
20220104,2022-01-04,2022,1,1,4,2022-01-01,2022-01-01,2022-01-01
20220809,2022-08-09,2022,3,8,9,2022-01-01,2022-07-01,2022-08-01
20220526,2022-05-26,2022,2,5,26,2022-01-01,2022-04-01,2022-05-01
20220405,2022-04-05,2022,2,4,5,2022-01-01,2022-04-01,2022-04-01
20220315,2022-03-15,2022,1,3,15,2022-01-01,2022-01-01,2022-03-01
20220510,2022-05-10,2022,2,5,10,2022-01-01,2022-04-01,2022-05-01
20220524,2022-05-24,2022,2,5,24,2022-01-01,2022-04-01,2022-05-01
20220210,2022-02-10,2022,1,2,10,2022-01-01,2022-01-01,2022-02-01
20220613,2022-06-13,2022,2,6,13,2022-01-01,2022-04-01,2022-06-01
20220331,2022-03-31,2022,1,3,31,2022-01-01,2022-01-01,2022-03-01
20220218,2022-02-18,2022,1,2,18,2022-01-01,2022-01-01,2022-02-01
20220113,2022-01-13,2022,1,1,13,2022-01-01,2022-01-01,2022-01-01
20220819,2022-08-19,2022,3,8,19,2022-01-01,2022-07-01,2022-08-01
20220415,2022-04-15,2022,2,4,15,2022-01-01,2022-04-01,2022-04-01
20220301,2022-03-01,2022,1,3,1,2022-01-01,2022-01-01,2022-03-01
20220707,2022-07-07,2022,3,7,7,2022-01-01,2022-07-01,2022-07-01
20220602,2022-06-02,2022,2,6,2,2022-01-01,2022-04-01,2022-06-01
20220614,2022-06-14,2022,2,6,14,2022-01-01,2022-04-01,2022-06-01
20220601,2022-06-01,2022,2,6,1,2022-01-01,2022-04-01,2022-06-01
20220816,2022-08-16,2022,3,8,16,2022-01-01,2022-07-01,2022-08-01
20220125,2022-01-25,2022,1,1,25,2022-01-01,2022-01-01,2022-01-01
20220608,2022-06-08,2022,2,6,8,2022-01-01,2022-04-01,2022-06-01
20220511,2022-05-11,2022,2,5,11,2022-01-01,2022-04-01,2022-05-01
20220609,2022-06-09,2022,2,6,9,2022-01-01,2022-04-01,2022-06-01
20220624,2022-06-24,2022,2,6,24,2022-01-01,2022-04-01,2022-06-01
20220719,2022-07-19,2022,3,7,19,2022-01-01,2022-07-01,2022-07-01
20220706,2022-07-06,2022,3,7,6,2022-01-01,2022-07-01,2022-07-01
20220404,2022-04-04,2022,2,4,4,2022-01-01,2022-04-01,2022-04-01
